Name region ConnectionCity/Cost,ConnectionCity/Cost

Seattle p Portland/3,Boise/12,Billings/9
PortLand p Seattle/3,Boise/13,San_Francisco/24
Boise p Portland/13,Seattle/12,Billings/12,Salt_Lake_City/8,San_Francisco/27
Billings p Seattle/0,Boise/12,Cheyenne/9,Fargo/17,Minneapolis/18
Cheyenne p Denver/0,Billings/9,Minneapolis/18,Omaha/14
Denver p Cheyenne/0,Salt_Lake_City/21,Santa_Fe/13,Kansas_City/16
Omaha p Kansas_City/5,Cheyenne/14,Minneapolis/8,Chicago/13

San_Francisco b Portland/24,Boise/23,Salt_Lake_City/27,Las_Vegas/14,Los_Angeles/9
Los_Angeles b San_Francisco/9,Las_Vegas/9,San_Diego/3
San_Diego b Los_Angeles/3,Las_Vegas/9,Phoenix/14
Phoenix b San_Diego/14,Las_Vegas/15,Santa_Fe/18
Las_Vegas b San_Francisco/14,Los_Angeles/9,San_Diego/9,Phoenix/15,Santa_Fe/27,Salt_Lake_City/18
Salt_Lake_City b Boise/8,San_Francisco/27,Las_Vegas/18,Santa_Fe/28,Denver/21
Santa_Fe b Salt_Lake_City/28,Las_Vegas/27,Phoenix/18,Houston/21,Dallas/16,Oklahoma_City/15,Kansas_City/16,Denver/13

Kansas_City r Omaha/5,Denver/16,Santa_Fe/16,Oklahoma_City/8,Memphis/12,St._Louis/6,Chicago/8
Oklahoma_City r Santa_Fe/15,Dallas/3,Memphis/14,Kansas_City/8
Dallas r Oklahoma_City/3,Santa_Fe/16,Houston/5,New_Orleans/12,Memphis/12
Houston r Santa_Fe/21,Dallas/5,New_Orleans/8
New_Orleans r Houston/8,Dallas/12,Memphis/7,Birmingham/11,Jacksonville/16
Memphis r St._Louis/7,Kansas_City/12,Oklahoma_City/14,Dallas/12,New_Orleans/7,Birmingham/6
Birmingham r Memphis/6,New_Orleans/11,Jacksonville/9,Atlanta/3

Fargo y Billings/17,Minneapolis/6,Duluth/6
Duluth y Fargo/6,Minneapolis/5,Chicago/12,Detroit/15
Minneapolis y Fargo/6,Billings/18,Cheyenne/18,Omaha/8,Chicago/8,Duluth/5
Chicago y Duluth/12,Minneapolis/8,Omaha/13,Kansas_City/8,St._Louis/10,Cincinnati/7,Detroit/7
St._Louis y Kansas_City/6,Memphis/7,Cincinnati/12,Chicago/10,Atlanta/12
Cincinnati y Chicago/7,St._Louis/12,Knoxville/6,Pittsburgh/7,Detroit/4
Knoxville y Cincinnati/6,Atlanta/5

Atlanta g Birmingham/3,Savannah/7,Raleigh/7,Knoxville/5
Tampa g Jacksonville/4,Miami/4
Miami g Tampa/4
Jacksonville g Tampa/4,New_Orleans/16,Birmingham/9,Savannah/0
Savannah g Jacksonville/0,Atlanta/7,Raleigh/7
Raleigh g Savannah/7,Atlanta/7,Pittsburgh/7,Norfolk/3
Norfolk g Washington_D.C./5,Raleigh/3

Detroit br Duluth/15,Chicago/7,Cincinnati/4,Pittsburgh/6,Buffalo/7
Pittsburgh br Detroit/6,Cincinnati/7,Raleigh/7,Washington_D.C./6,Buffalo/7
Buffalo br Detroit/7,Pittsburgh/7,New_York/8
Washington_D.C. br Pittsburgh/6,Philadelphia/3,Norfolk/5
Philadelphia br Washington_D.C./3,New_York/0
New_York br Philadelphia/0,Buffalo/8,Boston/3
Boston br New_York/3
